seq_name	length	topology	n_genes	genetic_code	plasmid_score	fdr	n_hallmarks	marker_enrichment	conjugation_genes	amr_genes
k127_289266	2513	No terminal repeats	3	11	0.9918	NA	0	1.9216	NA	NA
k127_30023	895	No terminal repeats	2	11	0.9914	NA	2	2.8392	MOBQ	NA
k127_126298	916	No terminal repeats	3	11	0.9911	NA	2	3.4366	NA	NA
k127_525947	1244	No terminal repeats	2	11	0.9904	NA	1	3.0489	F_traE	NA
k127_195109	1513	No terminal repeats	2	11	0.9900	NA	1	3.0489	F_traE	NA
k127_255016	3961	No terminal repeats	10	11	0.9887	NA	0	1.6778	NA	NA
k127_512577	375	No terminal repeats	1	11	0.9884	NA	1	1.7183	NA	NA
k127_70537	773	No terminal repeats	2	11	0.9871	NA	1	3.3841	NA	NA
k127_557120	373	No terminal repeats	1	11	0.9871	NA	1	1.7183	NA	NA
k127_219325	305	No terminal repeats	1	11	0.9863	NA	1	1.7183	NA	NA
k127_16190	771	No terminal repeats	2	11	0.9851	NA	1	3.0489	F_traE	NA
k127_382602	1524	No terminal repeats	4	11	0.9846	NA	2	3.8166	I_traK	NA
k127_173545	2925	No terminal repeats	8	11	0.9839	NA	0	1.6808	NA	NA
k127_198943	1110	No terminal repeats	1	11	0.9836	NA	1	1.4905	T_virB6	NA
k127_380988	2993	No terminal repeats	6	11	0.9833	NA	0	3.3210	NA	NA
k127_204466	960	No terminal repeats	2	11	0.9817	NA	1	2.0156	F_traE	NA
k127_458927	2969	No terminal repeats	5	11	0.9814	NA	0	2.8136	NA	NA
k127_472677	688	No terminal repeats	1	11	0.9812	NA	1	0.9963	NA	NA
k127_3603	814	No terminal repeats	2	11	0.9810	NA	2	2.7203	T_virB10	NA
k127_532916	3187	No terminal repeats	4	11	0.9810	NA	0	3.8297	NA	NA
k127_137712	333	No terminal repeats	1	11	0.9810	NA	1	1.4636	F_traE	NA
k127_67440	2965	No terminal repeats	5	11	0.9793	NA	0	3.0748	NA	NA
k127_548015	8559	No terminal repeats	11	11	0.9787	NA	0	2.4270	NA	NA
k127_324112	2981	No terminal repeats	3	11	0.9787	NA	0	2.1964	NA	NA
k127_261734	3007	No terminal repeats	5	11	0.9785	NA	0	2.8056	NA	NA
k127_251301	358	No terminal repeats	2	11	0.9784	NA	2	2.2801	T_virB3;T_virB2	NA
k127_242079	427	No terminal repeats	1	11	0.9782	NA	1	1.4636	F_traE	NA
k127_313663	2723	No terminal repeats	5	11	0.9782	NA	0	2.5111	NA	NA
k127_216525	355	No terminal repeats	1	11	0.9775	NA	1	1.4636	F_traE	NA
k127_350590	2716	No terminal repeats	4	11	0.9775	NA	0	1.7183	NA	NA
k127_426075	542	No terminal repeats	3	11	0.9764	NA	2	2.9639	NA	NA
k127_520312	761	No terminal repeats	1	11	0.9746	NA	1	1.4636	F_traE	NA
k127_311698	563	No terminal repeats	1	11	0.9740	NA	1	1.4636	F_traE	NA
k127_265097	4362	No terminal repeats	5	11	0.9740	NA	0	1.2972	NA	NA
k127_276636	446	No terminal repeats	1	11	0.9729	NA	1	1.4636	F_traE	NA
k127_161832	3779	No terminal repeats	3	11	0.9727	NA	1	1.5332	NA	NA
k127_483296	916	No terminal repeats	3	11	0.9727	NA	2	2.9639	NA	NA
k127_415930	531	No terminal repeats	1	11	0.9726	NA	1	1.4636	F_traE	NA
k127_942	2567	No terminal repeats	3	11	0.9721	NA	0	2.1095	NA	NA
k127_315980	2578	No terminal repeats	6	11	0.9707	NA	0	1.1612	NA	NA
k127_449965	398	No terminal repeats	2	11	0.9706	NA	2	2.4799	T_virB2;T_virB3	NA
k127_4792	379	No terminal repeats	1	11	0.9697	NA	1	1.4636	F_traE	NA
k127_396133	465	No terminal repeats	2	11	0.9688	NA	2	2.4799	T_virB2;T_virB3	NA
k127_171131	452	No terminal repeats	1	11	0.9682	NA	1	1.4636	F_traE	NA
k127_559004	3442	No terminal repeats	4	11	0.9680	NA	0	1.7183	NA	NA
k127_367831	483	No terminal repeats	2	11	0.9677	NA	1	2.5932	F_traE	NA
k127_459366	323	No terminal repeats	1	11	0.9675	NA	1	1.4636	F_traE	NA
k127_57193	3187	No terminal repeats	6	11	0.9670	NA	0	1.7175	NA	NA
k127_251670	1353	No terminal repeats	1	11	0.9670	NA	1	1.4636	F_traE	NA
k127_531653	681	No terminal repeats	2	11	0.9667	NA	2	2.5601	T_virB6	NA
k127_407012	1188	No terminal repeats	1	11	0.9663	NA	1	1.4636	F_traE	NA
k127_567114	4245	No terminal repeats	7	11	0.9662	NA	0	1.1516	NA	NA
k127_428622	461	No terminal repeats	1	11	0.9659	NA	1	1.4636	F_traE	NA
k127_552504	315	No terminal repeats	1	11	0.9659	NA	1	1.4636	F_traE	NA
k127_362003	658	No terminal repeats	1	11	0.9655	NA	1	1.4636	F_traE	NA
k127_340293	552	No terminal repeats	1	11	0.9646	NA	1	1.4636	F_traE	NA
k127_75861	515	No terminal repeats	1	11	0.9639	NA	1	1.4636	F_traE	NA
k127_173468	375	No terminal repeats	1	11	0.9635	NA	1	1.4935	T_virB8	NA
k127_550532	679	No terminal repeats	1	11	0.9633	NA	1	1.4636	F_traE	NA
k127_40725	353	No terminal repeats	1	11	0.9630	NA	1	1.5670	NA	NA
k127_41953	2831	No terminal repeats	5	11	0.9626	NA	0	1.8177	NA	NA
k127_465321	430	No terminal repeats	2	11	0.9625	NA	1	1.7183	NA	NA
k127_371015	783	No terminal repeats	1	11	0.9622	NA	1	1.4636	F_traE	NA
k127_127996	654	No terminal repeats	2	11	0.9616	NA	2	2.6685	T_virB8;T_virB6	NA
k127_562207	2820	No terminal repeats	4	11	0.9614	NA	0	2.4357	NA	NA
k127_490254	313	No terminal repeats	1	11	0.9610	NA	1	1.4636	F_traE	NA
k127_203334	341	No terminal repeats	1	11	0.9605	NA	1	1.4636	F_traE	NA
k127_532789	989	No terminal repeats	2	11	0.9604	NA	2	1.9813	T_virB8;T_virB9	NA
k127_1644	439	No terminal repeats	1	11	0.9601	NA	1	1.4636	F_traE	NA
