seq_name	length	topology	n_genes	genetic_code	plasmid_score	fdr	n_hallmarks	marker_enrichment	conjugation_genes	amr_genes
k127_20288	348	No terminal repeats	1	11	0.9916	NA	1	1.7183	NA	NA
k127_130811	412	No terminal repeats	1	11	0.9912	NA	1	1.7183	NA	NA
k127_310588	884	No terminal repeats	2	11	0.9893	NA	1	3.0489	F_traE	NA
k127_472797	651	No terminal repeats	2	11	0.9885	NA	1	3.0489	F_traE	NA
k127_279847	410	No terminal repeats	1	11	0.9882	NA	1	1.7183	NA	NA
k127_465684	1042	No terminal repeats	2	11	0.9879	NA	1	3.0489	F_traE	NA
k127_4245	1292	No terminal repeats	2	11	0.9862	NA	1	3.0489	F_traE	NA
k127_264264	323	No terminal repeats	1	11	0.9861	NA	1	1.7183	NA	NA
k127_203345	809	No terminal repeats	2	11	0.9861	NA	1	3.0489	F_traE	NA
k127_393160	4423	No terminal repeats	4	11	0.9849	NA	0	2.1191	NA	NA
k127_337376	765	No terminal repeats	2	11	0.9839	NA	1	3.0489	F_traE	NA
k127_126129	3088	No terminal repeats	4	11	0.9835	NA	0	1.4194	NA	NA
k127_113755	2732	No terminal repeats	3	11	0.9812	NA	1	2.5589	F_traE	NA
k127_428757	374	No terminal repeats	1	11	0.9802	NA	1	1.4636	F_traE	NA
k127_36977	3235	No terminal repeats	5	11	0.9793	NA	0	2.8136	NA	NA
k127_88840	711	No terminal repeats	1	11	0.9784	NA	1	0.8949	NA	NA
k127_165889	461	No terminal repeats	2	11	0.9771	NA	2	2.5969	T_virB3;T_virB2	NA
k127_451828	1280	No terminal repeats	5	11	0.9751	NA	1	2.5686	NA	NA
k127_481574	2541	No terminal repeats	3	11	0.9749	NA	0	2.8136	NA	NA
k127_127745	384	No terminal repeats	1	11	0.9749	NA	1	1.4636	F_traE	NA
k127_46268	309	No terminal repeats	1	11	0.9748	NA	1	1.4636	F_traE	NA
k127_225923	478	No terminal repeats	1	11	0.9743	NA	1	1.4636	F_traE	NA
k127_318218	306	No terminal repeats	1	11	0.9741	NA	1	1.4636	F_traE	NA
k127_457933	2822	No terminal repeats	4	11	0.9740	NA	1	4.1442	F_traE	NA
k127_54165	2857	No terminal repeats	2	11	0.9735	NA	0	1.5971	NA	NA
k127_339263	689	No terminal repeats	1	11	0.9727	NA	1	1.4636	F_traE	NA
k127_273214	1189	No terminal repeats	2	11	0.9721	NA	2	2.5051	T_virB5	NA
k127_162671	1225	No terminal repeats	1	11	0.9705	NA	1	1.4636	F_traE	NA
k127_462922	404	No terminal repeats	1	11	0.9695	NA	1	1.4636	F_traE	NA
k127_477474	1668	No terminal repeats	1	11	0.9695	NA	1	1.5111	NA	NA
k127_391080	1640	No terminal repeats	1	11	0.9664	NA	1	1.4636	F_traE	NA
k127_478329	3261	No terminal repeats	5	11	0.9658	NA	0	2.2138	NA	NA
k127_96827	2872	No terminal repeats	3	11	0.9643	NA	1	2.5589	F_traE	NA
k127_347036	371	No terminal repeats	1	11	0.9643	NA	1	1.4636	F_traE	NA
k127_365165	870	No terminal repeats	1	11	0.9627	NA	1	1.2722	MOBQ	NA
k127_287554	1565	No terminal repeats	2	11	0.9614	NA	1	1.5180	MOBP1	NA
k127_420289	3230	No terminal repeats	4	11	0.9611	NA	0	1.7332	NA	NA
k127_217783	303	No terminal repeats	1	11	0.9611	NA	1	1.5477	T_virB5	NA
k127_274926	595	No terminal repeats	2	11	0.9608	NA	1	2.0462	F_traE	NA
k127_164673	345	No terminal repeats	1	11	0.9601	NA	1	0.9172	NA	NA
k127_252123	410	No terminal repeats	1	11	0.9598	NA	1	1.4636	F_traE	NA
k127_202899	1202	No terminal repeats	3	11	0.9594	NA	1	1.4636	F_traE	NA
k127_74999	453	No terminal repeats	1	11	0.9591	NA	1	1.4636	F_traE	NA
k127_94754	370	No terminal repeats	1	11	0.9587	NA	1	1.4636	F_traE	NA
k127_107500	371	No terminal repeats	1	11	0.9577	NA	1	1.4868	T_virB5	NA
k127_434949	306	No terminal repeats	1	11	0.9573	NA	1	1.4636	F_traE	NA
k127_110588	411	No terminal repeats	1	11	0.9573	NA	1	1.4636	F_traE	NA
k127_17449	337	No terminal repeats	1	11	0.9571	NA	1	1.4636	F_traE	NA
k127_77321	3338	No terminal repeats	4	11	0.9571	NA	0	1.2972	NA	NA
k127_219635	1546	No terminal repeats	2	11	0.9567	NA	1	2.0411	F_traE	NA
k127_210114	1458	No terminal repeats	3	11	0.9566	NA	2	2.6223	MOBP1;MOBP1	NA
k127_407936	253	No terminal repeats	1	11	0.9561	NA	1	1.4636	F_traE	NA
k127_184328	433	No terminal repeats	1	11	0.9554	NA	1	1.4636	F_traE	NA
