seq_name	length	topology	n_genes	genetic_code	plasmid_score	fdr	n_hallmarks	marker_enrichment	conjugation_genes	amr_genes
k127_484830	891	No terminal repeats	2	11	0.9914	NA	1	3.1819	F_traE	NA
k127_350957	984	No terminal repeats	4	11	0.9908	NA	2	6.0977	F_traE;F_traE	NA
k127_315772	884	No terminal repeats	2	11	0.9894	NA	2	2.9639	NA	NA
k127_449712	3031	No terminal repeats	3	11	0.9858	NA	0	2.5921	NA	NA
k127_406907	559	No terminal repeats	2	11	0.9847	NA	2	2.7262	MOBP1	NA
k127_85303	734	No terminal repeats	2	11	0.9846	NA	1	2.5932	F_traE	NA
k127_294537	508	No terminal repeats	2	11	0.9820	NA	1	2.7416	NA	NA
k127_78945	4846	No terminal repeats	5	11	0.9802	NA	0	1.3978	NA	NA
k127_204420	3242	No terminal repeats	5	11	0.9797	NA	0	3.4242	NA	NA
k127_157089	594	No terminal repeats	2	11	0.9793	NA	1	3.0489	F_traE	NA
k127_21345	431	No terminal repeats	1	11	0.9789	NA	1	1.3764	NA	NA
k127_167958	306	No terminal repeats	1	11	0.9788	NA	1	1.5622	NA	NA
k127_239344	2135	No terminal repeats	2	11	0.9785	NA	1	2.5932	F_traE	NA
k127_546187	2792	No terminal repeats	3	11	0.9774	NA	0	1.6689	NA	NA
k127_254830	2849	No terminal repeats	5	11	0.9762	NA	0	1.1791	NA	NA
k127_345015	415	No terminal repeats	1	11	0.9761	NA	1	1.4636	F_traE	NA
k127_440417	3767	No terminal repeats	5	11	0.9752	NA	0	3.7960	NA	NA
k127_258890	1257	No terminal repeats	2	11	0.9748	NA	1	3.1344	NA	NA
k127_145825	2620	No terminal repeats	3	11	0.9747	NA	0	2.5846	NA	NA
k127_21847	321	No terminal repeats	1	11	0.9744	NA	1	1.4636	F_traE	NA
k127_424065	349	No terminal repeats	1	11	0.9740	NA	1	1.4636	F_traE	NA
k127_103871	478	No terminal repeats	2	11	0.9736	NA	2	2.5969	T_virB3;T_virB2	NA
k127_22947	341	No terminal repeats	1	11	0.9736	NA	1	1.4636	F_traE	NA
k127_373593	2527	No terminal repeats	4	11	0.9726	NA	0	1.7183	NA	NA
k127_505110	478	No terminal repeats	1	11	0.9724	NA	1	1.4636	F_traE	NA
k127_306261	2963	No terminal repeats	4	11	0.9718	NA	0	2.3848	NA	NA
k127_268227	395	No terminal repeats	1	11	0.9717	NA	1	1.5654	NA	NA
k127_388222	318	No terminal repeats	1	11	0.9717	NA	1	1.5622	NA	NA
k127_475875	346	No terminal repeats	1	11	0.9705	NA	1	1.5465	T_virB5	NA
k127_154948	478	No terminal repeats	1	11	0.9667	NA	1	1.5670	NA	NA
k127_516680	670	No terminal repeats	1	11	0.9667	NA	1	1.5180	MOBP1	NA
k127_97243	469	No terminal repeats	1	11	0.9663	NA	1	1.0621	MOBP1	NA
k127_480533	1370	No terminal repeats	4	11	0.9654	NA	1	4.2545	F_traE	NA
k127_255075	301	No terminal repeats	2	11	0.9646	NA	2	2.2801	T_virB2;T_virB3	NA
k127_132100	350	No terminal repeats	1	11	0.9638	NA	1	1.4636	F_traE	NA
k127_552016	1558	No terminal repeats	1	11	0.9637	NA	1	1.4636	F_traE	NA
k127_266842	348	No terminal repeats	1	11	0.9634	NA	1	0.9015	NA	NA
k127_536310	334	No terminal repeats	1	11	0.9622	NA	1	0.9015	NA	NA
k127_23504	345	No terminal repeats	2	11	0.9618	NA	2	2.4799	T_virB3;T_virB2	NA
k127_114451	590	No terminal repeats	1	11	0.9618	NA	1	1.6642	NA	NA
k127_279964	584	No terminal repeats	1	11	0.9617	NA	1	1.4636	F_traE	NA
k127_131654	4802	No terminal repeats	5	11	0.9617	NA	0	2.6061	NA	NA
k127_221152	626	No terminal repeats	1	11	0.9617	NA	1	1.4636	F_traE	NA
k127_26005	391	No terminal repeats	1	11	0.9615	NA	1	1.4636	F_traE	NA
k127_76689	671	No terminal repeats	1	11	0.9615	NA	1	1.4636	F_traE	NA
k127_59897	318	No terminal repeats	1	11	0.9613	NA	1	1.4636	F_traE	NA
k127_481081	323	No terminal repeats	1	11	0.9610	NA	1	1.4636	F_traE	NA
k127_539352	442	No terminal repeats	1	11	0.9609	NA	1	1.4636	F_traE	NA
k127_69944	311	No terminal repeats	1	11	0.9601	NA	1	1.4636	F_traE	NA
k127_242758	494	No terminal repeats	1	11	0.9601	NA	1	1.4636	F_traE	NA
k127_142265	424	No terminal repeats	1	11	0.9601	NA	1	1.4636	F_traE	NA
k127_448213	374	No terminal repeats	1	11	0.9598	NA	1	1.4636	F_traE	NA
k127_233051	303	No terminal repeats	1	11	0.9584	NA	1	1.4636	F_traE	NA
k127_144514	399	No terminal repeats	1	11	0.9582	NA	1	1.4636	F_traE	NA
k127_482016	316	No terminal repeats	1	11	0.9580	NA	1	1.4636	F_traE	NA
k127_113701	489	No terminal repeats	1	11	0.9580	NA	1	1.4636	F_traE	NA
k127_25912	403	No terminal repeats	1	11	0.9562	NA	1	1.4636	F_traE	NA
k127_277410	337	No terminal repeats	1	11	0.9560	NA	1	1.4636	F_traE	NA
k127_470742	372	No terminal repeats	1	11	0.9555	NA	1	1.6642	NA	NA
k127_306103	3556	No terminal repeats	6	11	0.9554	NA	0	1.5195	NA	NA
k127_478312	370	No terminal repeats	1	11	0.9542	NA	1	1.1540	NA	NA
k127_195853	514	No terminal repeats	2	11	0.9539	NA	1	2.6786	F_traE	NA
k127_80763	671	No terminal repeats	1	11	0.9529	NA	1	1.4636	F_traE	NA
k127_13251	373	No terminal repeats	1	11	0.9528	NA	1	1.4944	T_virB5	NA
k127_258509	531	No terminal repeats	1	11	0.9510	NA	1	1.4636	F_traE	NA
k127_354491	302	No terminal repeats	1	11	0.9506	NA	1	1.6645	MOBP1	NA
k127_380834	2504	No terminal repeats	3	11	0.9503	NA	0	2.3977	NA	NA
k127_123234	1971	No terminal repeats	3	11	0.9503	NA	1	1.4636	F_traE	NA
k127_359180	485	No terminal repeats	1	11	0.9502	NA	1	1.4636	F_traE	NA
k127_410413	375	No terminal repeats	1	11	0.9484	NA	1	1.4636	F_traE	NA
k127_253163	326	No terminal repeats	1	11	0.9477	NA	1	1.4636	F_traE	NA
k127_419920	590	No terminal repeats	1	11	0.9474	NA	1	1.4636	F_traE	NA
k127_3138	396	No terminal repeats	2	11	0.9472	NA	2	2.2801	T_virB3;T_virB2	NA
k127_185889	2940	No terminal repeats	3	11	0.9465	NA	0	1.2570	NA	NA
k127_443798	497	No terminal repeats	1	11	0.9465	NA	1	1.4636	F_traE	NA
k127_207148	3398	No terminal repeats	4	11	0.9457	NA	0	3.3873	NA	NA
k127_1890	725	No terminal repeats	1	11	0.9453	NA	1	1.4636	F_traE	NA
k127_216820	331	No terminal repeats	1	11	0.9445	NA	1	1.4636	F_traE	NA
k127_208581	389	No terminal repeats	1	11	0.9438	NA	1	1.4636	F_traE	NA
k127_295723	309	No terminal repeats	1	11	0.9434	NA	1	1.5670	NA	NA
k127_285911	2696	No terminal repeats	2	11	0.9425	NA	0	0.9943	NA	NA
k127_331454	330	No terminal repeats	1	11	0.9406	NA	1	1.4636	F_traE	NA
k127_321049	3200	No terminal repeats	4	11	0.9405	NA	0	0.9943	NA	NA
k127_361033	2718	No terminal repeats	3	11	0.9400	NA	0	1.5589	NA	NA
k127_521298	337	No terminal repeats	1	11	0.9396	NA	1	1.4636	F_traE	NA
k127_478108	447	No terminal repeats	1	11	0.9393	NA	1	1.4636	F_traE	NA
k127_388254	442	No terminal repeats	1	11	0.9384	NA	1	1.4688	NA	NA
k127_287052	3125	No terminal repeats	5	11	0.9383	NA	0	1.9131	NA	NA
k127_408606	531	No terminal repeats	1	11	0.9362	NA	1	1.5223	NA	NA
k127_207655	586	No terminal repeats	1	11	0.9359	NA	1	1.4636	F_traE	NA
k127_451526	2831	No terminal repeats	3	11	0.9358	NA	0	1.2570	NA	NA
k127_422891	437	No terminal repeats	1	11	0.9351	NA	1	1.4636	F_traE	NA
k127_290657	2606	No terminal repeats	3	11	0.9350	NA	1	1.4636	F_traE	NA
k127_381608	363	No terminal repeats	1	11	0.9349	NA	1	1.5595	NA	NA
k127_502152	361	No terminal repeats	1	11	0.9348	NA	1	1.4636	F_traE	NA
k127_398695	2533	No terminal repeats	3	11	0.9329	NA	0	1.7183	NA	NA
k127_550041	318	No terminal repeats	1	11	0.9308	NA	1	1.4636	F_traE	NA
k127_364491	469	No terminal repeats	1	11	0.9243	NA	1	0.9015	NA	NA
k127_75692	439	No terminal repeats	2	11	0.9225	NA	1	1.4636	F_traE	NA
k127_203485	3332	No terminal repeats	3	11	0.9208	NA	0	1.7183	NA	NA
k127_512348	1243	No terminal repeats	2	11	0.9192	NA	1	1.1426	NA	NA
k127_38164	973	No terminal repeats	2	11	0.9182	NA	1	1.2067	T_virB5	NA
k127_264049	4374	No terminal repeats	6	11	0.9181	NA	0	2.6412	NA	NA
k127_178481	322	No terminal repeats	1	11	0.9148	NA	1	1.5789	NA	NA
k127_347675	2187	No terminal repeats	3	11	0.9121	NA	1	1.1540	NA	NA
k127_352251	4694	No terminal repeats	5	11	0.9105	NA	0	0.9787	NA	NA
k127_10129	840	No terminal repeats	2	11	0.9091	NA	1	1.4636	F_traE	NA
k127_459837	335	No terminal repeats	1	11	0.9086	NA	1	1.3816	NA	NA
k127_213560	307	No terminal repeats	1	11	0.9084	NA	1	1.6642	NA	NA
k127_270894	2328	No terminal repeats	4	11	0.9069	NA	1	2.4831	NA	NA
k127_205165	737	No terminal repeats	1	11	0.9062	NA	1	1.3816	NA	NA
