seq_name	length	topology	n_genes	genetic_code	plasmid_score	fdr	n_hallmarks	marker_enrichment	conjugation_genes	amr_genes
k127_1061141	2654	No terminal repeats	4	11	0.9944	NA	0	4.4207	NA	NA
k127_338211	6576	No terminal repeats	3	11	0.9935	NA	0	1.6797	NA	NF012212
k127_411923	534	No terminal repeats	2	11	0.9925	NA	2	3.4366	T_virB3;T_virB2	NA
k127_61670	787	No terminal repeats	2	11	0.9923	NA	1	3.1819	F_traE	NA
k127_107303	2940	No terminal repeats	4	11	0.9920	NA	0	1.7389	NA	NA
k127_519785	308	No terminal repeats	1	11	0.9913	NA	1	1.7183	NA	NA
k127_662744	311	No terminal repeats	1	11	0.9887	NA	1	1.7183	T_virB2	NA
k127_33832	346	No terminal repeats	2	11	0.9885	NA	2	2.9639	NA	NA
k127_610766	6520	No terminal repeats	8	11	0.9885	NA	0	2.6089	NA	NA
k127_650567	558	No terminal repeats	2	11	0.9884	NA	1	3.1819	F_traE	NA
k127_925664	441	No terminal repeats	1	11	0.9882	NA	1	1.7183	NA	NA
k127_447809	658	No terminal repeats	2	11	0.9853	NA	1	2.8953	F_traE	NA
k127_1020470	318	No terminal repeats	2	11	0.9852	NA	2	2.2801	T_virB3;T_virB2	NA
k127_279167	581	No terminal repeats	2	11	0.9824	NA	1	3.0489	F_traE	NA
k127_39377	3001	No terminal repeats	6	11	0.9822	NA	0	0.9538	NA	NA
k127_253677	924	No terminal repeats	3	11	0.9812	NA	1	1.1181	NA	NA
k127_482347	1210	No terminal repeats	1	11	0.9802	NA	1	1.4636	F_traE	NA
k127_718881	318	No terminal repeats	2	11	0.9801	NA	2	2.2801	T_virB3;T_virB2	NA
k127_677311	460	No terminal repeats	1	11	0.9801	NA	1	0.9015	NA	NA
k127_761411	374	No terminal repeats	1	11	0.9800	NA	1	1.4636	F_traE	NA
k127_338471	544	No terminal repeats	2	11	0.9798	NA	1	2.8953	F_traE	NA
k127_620053	572	No terminal repeats	1	11	0.9786	NA	1	0.9015	NA	NA
k127_1019537	347	No terminal repeats	1	11	0.9754	NA	1	1.4636	F_traE	NA
k127_278581	392	No terminal repeats	1	11	0.9753	NA	1	1.4636	F_traE	NA
k127_114093	2858	No terminal repeats	3	11	0.9740	NA	0	1.5828	NA	NA
k127_941701	388	No terminal repeats	1	11	0.9727	NA	1	1.4636	F_traE	NA
k127_1048289	323	No terminal repeats	1	11	0.9725	NA	1	1.4636	F_traE	NA
k127_787672	807	No terminal repeats	1	11	0.9718	NA	1	1.4636	F_traE	NA
k127_64995	301	No terminal repeats	1	11	0.9716	NA	1	1.4636	F_traE	NA
k127_419763	337	No terminal repeats	1	11	0.9715	NA	1	1.5654	NA	NA
k127_403625	3545	No terminal repeats	4	11	0.9713	NA	0	2.9255	NA	NA
k127_522787	661	No terminal repeats	1	11	0.9702	NA	1	1.4636	F_traE	NA
k127_118756	3350	No terminal repeats	4	11	0.9692	NA	0	2.1209	NA	NA
k127_837065	482	No terminal repeats	1	11	0.9691	NA	1	1.4636	F_traE	NA
k127_323717	374	No terminal repeats	1	11	0.9689	NA	1	1.5486	NA	NA
k127_962516	419	No terminal repeats	1	11	0.9682	NA	1	1.4636	F_traE	NA
k127_987915	708	No terminal repeats	1	11	0.9678	NA	1	1.4640	MOBP1	NA
k127_533862	626	No terminal repeats	1	11	0.9675	NA	1	1.5486	NA	NA
k127_880061	426	No terminal repeats	1	11	0.9673	NA	1	1.5486	NA	NA
k127_380116	338	No terminal repeats	1	11	0.9669	NA	1	1.5486	NA	NA
k127_111154	1491	No terminal repeats	1	11	0.9667	NA	1	1.4636	F_traE	NA
k127_962554	358	No terminal repeats	1	11	0.9667	NA	1	1.5486	NA	NA
k127_428246	327	No terminal repeats	1	11	0.9662	NA	1	1.5486	NA	NA
k127_403683	501	No terminal repeats	1	11	0.9659	NA	1	1.4636	F_traE	NA
k127_869929	935	No terminal repeats	1	11	0.9657	NA	1	1.4636	F_traE	NA
k127_676841	2520	No terminal repeats	2	11	0.9656	NA	0	1.5428	NA	NA
k127_798416	697	No terminal repeats	1	11	0.9630	NA	1	1.4636	F_traE	NA
k127_595586	339	No terminal repeats	1	11	0.9629	NA	1	1.5670	NA	NA
k127_132524	317	No terminal repeats	1	11	0.9617	NA	1	1.4894	MOBQ	NA
k127_25328	406	No terminal repeats	1	11	0.9613	NA	1	1.4636	F_traE	NA
k127_1061473	5372	No terminal repeats	6	11	0.9613	NA	0	2.7427	NA	NA
k127_195450	337	No terminal repeats	1	11	0.9610	NA	1	0.9172	NA	NA
k127_301105	2886	No terminal repeats	5	11	0.9609	NA	0	2.5568	NA	NA
k127_515803	462	No terminal repeats	2	11	0.9602	NA	1	1.7183	NA	NA
k127_158302	879	No terminal repeats	2	11	0.9601	NA	1	2.7360	NA	NA
k127_171379	3725	No terminal repeats	5	11	0.9598	NA	0	1.4448	NA	NA
k127_280265	458	No terminal repeats	1	11	0.9595	NA	1	0.9015	NA	NA
k127_339903	312	No terminal repeats	1	11	0.9583	NA	1	1.5029	NA	NA
k127_661374	4136	No terminal repeats	4	11	0.9581	NA	0	1.8597	NA	NA
k127_456063	482	No terminal repeats	2	11	0.9575	NA	1	2.6782	F_traE	NA
k127_204605	375	No terminal repeats	1	11	0.9573	NA	1	1.5486	NA	NA
k127_332390	3711	No terminal repeats	5	11	0.9572	NA	0	2.1970	NA	NA
k127_201802	339	No terminal repeats	1	11	0.9571	NA	1	1.5486	NA	NA
k127_987806	612	No terminal repeats	1	11	0.9571	NA	1	1.4636	F_traE	NA
k127_92058	541	No terminal repeats	1	11	0.9568	NA	1	1.4636	F_traE	NA
k127_583184	2573	No terminal repeats	5	11	0.9567	NA	0	1.3051	NA	NA
k127_213626	427	No terminal repeats	1	11	0.9566	NA	1	1.5486	NA	NA
k127_265440	1114	No terminal repeats	3	11	0.9563	NA	2	2.8302	T_virB6;T_virB8	NA
k127_57344	305	No terminal repeats	1	11	0.9562	NA	1	1.4636	F_traE	NA
k127_677635	450	No terminal repeats	1	11	0.9561	NA	1	1.4636	F_traE	NA
k127_978605	971	No terminal repeats	1	11	0.9561	NA	1	1.5486	NA	NA
k127_775910	2532	No terminal repeats	2	11	0.9560	NA	0	1.5828	NA	NA
k127_606926	628	No terminal repeats	1	11	0.9559	NA	1	1.1540	NA	NA
k127_1020917	314	No terminal repeats	1	11	0.9557	NA	1	1.4636	F_traE	NA
k127_206371	872	No terminal repeats	1	11	0.9554	NA	1	1.5486	NA	NA
k127_352706	745	No terminal repeats	1	11	0.9552	NA	1	1.4688	NA	NA
k127_794001	337	No terminal repeats	1	11	0.9547	NA	1	1.6381	NA	NA
k127_465681	1316	No terminal repeats	2	11	0.9547	NA	1	1.1906	NA	NA
k127_566594	367	No terminal repeats	1	11	0.9542	NA	1	1.4636	F_traE	NA
k127_658065	551	No terminal repeats	1	11	0.9541	NA	1	1.4636	F_traE	NA
k127_813082	312	No terminal repeats	1	11	0.9538	NA	1	1.4636	F_traE	NA
k127_618791	392	No terminal repeats	1	11	0.9538	NA	1	1.5486	NA	NA
k127_684190	528	No terminal repeats	1	11	0.9536	NA	1	1.4636	F_traE	NA
k127_1033099	353	No terminal repeats	1	11	0.9535	NA	1	1.4636	F_traE	NA
k127_1096232	365	No terminal repeats	1	11	0.9517	NA	1	0.9172	NA	NA
