seq_name	length	topology	n_genes	genetic_code	plasmid_score	fdr	n_hallmarks	marker_enrichment	conjugation_genes	amr_genes
k127_189932	1571	No terminal repeats	4	11	0.9893	NA	1	3.1819	F_traE	NA
k127_229890	2611	No terminal repeats	5	11	0.9862	NA	0	3.1381	NA	NA
k127_225595	334	No terminal repeats	2	11	0.9854	NA	2	2.9639	NA	NA
k127_301342	2815	No terminal repeats	3	11	0.9838	NA	0	2.5461	NA	NA
k127_315682	3644	No terminal repeats	3	11	0.9837	NA	0	1.5828	NA	NA
k127_207297	529	No terminal repeats	2	11	0.9806	NA	1	2.6885	T_virB6	NA
k127_223117	449	No terminal repeats	2	11	0.9801	NA	1	2.6885	T_virB6	NA
k127_164626	427	No terminal repeats	1	11	0.9789	NA	1	1.4636	F_traE	NA
k127_198211	2836	No terminal repeats	5	11	0.9789	NA	0	1.5828	NA	NA
k127_51871	376	No terminal repeats	1	11	0.9786	NA	1	1.4636	F_traE	NA
k127_182052	920	No terminal repeats	3	11	0.9765	NA	1	3.0489	F_traE	NA
k127_314328	1490	No terminal repeats	1	11	0.9761	NA	1	1.4636	F_traE	NA
k127_149476	373	No terminal repeats	1	11	0.9758	NA	1	1.4636	F_traE	NA
k127_69724	324	No terminal repeats	1	11	0.9748	NA	1	1.4636	F_traE	NA
k127_366133	590	No terminal repeats	3	11	0.9736	NA	1	3.0489	F_traE	NA
k127_11421	1041	No terminal repeats	1	11	0.9705	NA	1	1.3112	MOBP1	NA
k127_155473	401	No terminal repeats	1	11	0.9695	NA	1	1.5029	NA	NA
k127_35882	595	No terminal repeats	2	11	0.9691	NA	2	3.1656	MOBP1	NA
k127_285420	962	No terminal repeats	2	11	0.9687	NA	1	2.1523	F_traE	NA
k127_128038	2759	No terminal repeats	4	11	0.9680	NA	0	1.9946	NA	NA
k127_224391	343	No terminal repeats	1	11	0.9649	NA	1	1.5670	NA	NA
k127_325521	456	No terminal repeats	1	11	0.9635	NA	1	1.4636	F_traE	NA
k127_229056	699	No terminal repeats	3	11	0.9629	NA	2	2.5969	T_virB3;T_virB2	NA
k127_161863	2787	No terminal repeats	3	11	0.9629	NA	0	1.5828	NA	NA
k127_323724	411	No terminal repeats	1	11	0.9625	NA	1	1.6385	NA	NA
k127_46189	467	No terminal repeats	1	11	0.9622	NA	1	1.4636	F_traE	NA
k127_200418	841	No terminal repeats	1	11	0.9619	NA	1	1.4636	F_traE	NA
k127_366527	376	No terminal repeats	1	11	0.9617	NA	1	1.4636	F_traE	NA
k127_155700	826	No terminal repeats	2	11	0.9614	NA	1	2.0462	F_traE	NA
k127_144775	304	No terminal repeats	1	11	0.9611	NA	1	1.4636	F_traE	NA
k127_357205	545	No terminal repeats	2	11	0.9597	NA	1	1.7183	NA	NA
k127_186511	318	No terminal repeats	1	11	0.9582	NA	1	1.4636	F_traE	NA
k127_274393	352	No terminal repeats	1	11	0.9578	NA	1	1.4636	F_traE	NA
k127_49157	308	No terminal repeats	1	11	0.9574	NA	1	1.4636	F_traE	NA
k127_225269	2908	No terminal repeats	4	11	0.9570	NA	0	0.9943	NA	NA
k127_244405	705	No terminal repeats	1	11	0.9544	NA	1	1.4636	F_traE	NA
k127_328966	374	No terminal repeats	1	11	0.9543	NA	1	1.4944	T_virB5	NA
k127_71217	355	No terminal repeats	1	11	0.9538	NA	1	1.5595	NA	NA
k127_15356	359	No terminal repeats	1	11	0.9534	NA	1	1.4636	F_traE	NA
k127_268379	579	No terminal repeats	1	11	0.9526	NA	1	1.4636	F_traE	NA
k127_200122	517	No terminal repeats	1	11	0.9521	NA	1	1.4636	F_traE	NA
k127_366067	479	No terminal repeats	1	11	0.9511	NA	1	1.4944	T_virB5	NA
k127_164842	602	No terminal repeats	2	11	0.9504	NA	1	1.5040	T_virB1	NA
k127_138441	431	No terminal repeats	1	11	0.9500	NA	1	1.4636	F_traE	NA
k127_344601	330	No terminal repeats	1	11	0.9487	NA	1	1.1540	NA	NA
k127_158613	375	No terminal repeats	1	11	0.9485	NA	1	1.6015	NA	NA
k127_357496	2674	No terminal repeats	4	11	0.9477	NA	0	1.4194	NA	NA
k127_151189	406	No terminal repeats	1	11	0.9474	NA	1	1.4636	F_traE	NA
k127_168816	2693	No terminal repeats	4	11	0.9463	NA	1	2.5589	F_traE	NA
k127_348400	399	No terminal repeats	1	11	0.9459	NA	1	1.4636	F_traE	NA
k127_97762	563	No terminal repeats	2	11	0.9416	NA	2	2.2801	T_virB3;T_virB2	NA
