seq_name	length	topology	n_genes	genetic_code	plasmid_score	fdr	n_hallmarks	marker_enrichment	conjugation_genes	amr_genes
k127_22740	322	No terminal repeats	1	11	0.9903	NA	1	1.7183	NA	NA
k127_7650	557	No terminal repeats	1	11	0.9897	NA	1	1.7183	NA	NA
k127_229386	337	No terminal repeats	2	11	0.9870	NA	1	3.0489	F_traE	NA
k127_18742	1343	No terminal repeats	1	11	0.9848	NA	1	1.4636	F_traE	NA
k127_5716	3104	No terminal repeats	3	11	0.9840	NA	0	1.5021	NA	NA
k127_81742	894	No terminal repeats	1	11	0.9817	NA	1	1.0599	NA	NA
k127_91270	409	No terminal repeats	2	11	0.9809	NA	1	2.7416	NA	NA
k127_108018	527	No terminal repeats	1	11	0.9807	NA	1	0.9172	NA	NA
k127_112698	313	No terminal repeats	1	11	0.9806	NA	1	1.5622	NA	NA
k127_157548	885	No terminal repeats	1	11	0.9802	NA	1	1.4636	F_traE	NA
k127_284289	2131	No terminal repeats	3	11	0.9795	NA	1	2.5932	F_traE	NA
k127_193880	440	No terminal repeats	1	11	0.9773	NA	1	1.4636	F_traE	NA
k127_214143	3141	No terminal repeats	4	11	0.9764	NA	1	2.7708	F_traE	NA
k127_134387	843	No terminal repeats	1	11	0.9751	NA	1	0.9172	NA	NA
k127_134537	854	No terminal repeats	2	11	0.9750	NA	1	3.2705	NA	NA
k127_137802	1484	No terminal repeats	3	11	0.9734	NA	2	2.7203	T_virB10	NA
k127_255315	1131	No terminal repeats	3	11	0.9733	NA	1	3.0489	F_traE	NA
k127_282799	973	No terminal repeats	2	11	0.9733	NA	1	2.3763	T_virB8	NA
k127_2041	422	No terminal repeats	1	11	0.9729	NA	1	1.4636	F_traE	NA
k127_8963	479	No terminal repeats	1	11	0.9727	NA	1	1.5622	NA	NA
k127_1231	339	No terminal repeats	1	11	0.9719	NA	1	1.4636	F_traE	NA
k127_64664	370	No terminal repeats	1	11	0.9718	NA	1	1.4636	F_traE	NA
k127_124258	4401	No terminal repeats	5	11	0.9718	NA	0	2.3641	NA	NA
k127_176970	419	No terminal repeats	1	11	0.9704	NA	1	0.8949	NA	NA
k127_257110	661	No terminal repeats	1	11	0.9679	NA	1	1.4894	MOBQ	NA
k127_103456	431	No terminal repeats	1	11	0.9672	NA	1	1.4636	F_traE	NA
