seq_name	length	topology	n_genes	genetic_code	plasmid_score	fdr	n_hallmarks	marker_enrichment	conjugation_genes	amr_genes
k127_507794	354	No terminal repeats	1	11	0.9933	NA	1	1.7183	NA	NA
k127_613141	829	No terminal repeats	2	11	0.9928	NA	1	3.4366	NA	NA
k127_262032	388	No terminal repeats	1	11	0.9925	NA	1	1.7183	NA	NA
k127_504845	3391	No terminal repeats	3	11	0.9921	NA	2	3.0038	T_virB9	NA
k127_408708	346	No terminal repeats	1	11	0.9914	NA	1	1.7183	NA	NA
k127_317070	365	No terminal repeats	1	11	0.9914	NA	1	1.7183	NA	NA
k127_379251	301	No terminal repeats	1	11	0.9899	NA	1	1.7183	NA	NA
k127_204138	406	No terminal repeats	1	11	0.9895	NA	1	1.7183	NA	NA
k127_20082	343	No terminal repeats	1	11	0.9892	NA	1	1.7183	NA	NA
k127_172106	317	No terminal repeats	1	11	0.9891	NA	1	1.7183	NA	NA
k127_456590	2859	No terminal repeats	2	11	0.9887	NA	0	2.8629	NA	NA
k127_52268	320	No terminal repeats	2	11	0.9884	NA	1	3.0489	F_traE	NA
k127_407131	325	No terminal repeats	2	11	0.9880	NA	1	3.0489	F_traE	NA
k127_290486	389	No terminal repeats	2	11	0.9878	NA	1	3.0489	F_traE	NA
k127_184557	439	No terminal repeats	2	11	0.9875	NA	1	3.0984	NA	NA
k127_383231	3746	No terminal repeats	3	11	0.9875	NA	0	2.3716	NA	NA
k127_457265	1014	No terminal repeats	2	11	0.9872	NA	1	2.3538	NA	NA
k127_33927	329	No terminal repeats	1	11	0.9872	NA	1	1.7183	NA	NA
k127_392268	1117	No terminal repeats	3	11	0.9870	NA	2	3.4366	NA	NA
k127_30676	343	No terminal repeats	2	11	0.9868	NA	1	3.0489	F_traE	NA
k127_360357	621	No terminal repeats	2	11	0.9864	NA	1	2.6247	F_traE	NA
k127_54209	380	No terminal repeats	1	11	0.9864	NA	1	1.7183	NA	NA
k127_30671	369	No terminal repeats	2	11	0.9864	NA	1	3.0489	F_traE	NA
k127_279892	846	No terminal repeats	2	11	0.9863	NA	1	3.0489	F_traE	NA
k127_200623	335	No terminal repeats	2	11	0.9862	NA	1	2.6247	F_traE	NA
k127_266466	810	No terminal repeats	1	11	0.9861	NA	1	1.7183	NA	NA
k127_396194	1702	No terminal repeats	5	11	0.9857	NA	1	2.8992	NA	NA
k127_453376	2752	No terminal repeats	3	11	0.9855	NA	0	2.6349	NA	NA
k127_507762	1936	No terminal repeats	3	11	0.9854	NA	1	3.0489	F_traE	NA
k127_533437	1299	No terminal repeats	2	11	0.9852	NA	1	2.6247	F_traE	NA
k127_585463	3570	No terminal repeats	6	11	0.9850	NA	0	1.8207	NA	NA
k127_335052	3477	No terminal repeats	4	11	0.9845	NA	0	1.2485	NA	NA
k127_13707	318	No terminal repeats	2	11	0.9843	NA	2	2.5198	T_virB2;T_virB3	NA
k127_202183	3173	No terminal repeats	4	11	0.9842	NA	0	2.5256	NA	NA
k127_174863	1177	No terminal repeats	2	11	0.9838	NA	1	1.7183	NA	NA
k127_538549	1334	No terminal repeats	2	11	0.9835	NA	1	2.0792	NA	NA
k127_199947	2906	No terminal repeats	2	11	0.9828	NA	0	1.6888	NA	NA
k127_70059	705	No terminal repeats	2	11	0.9822	NA	1	2.7416	NA	NA
k127_281093	3510	No terminal repeats	3	11	0.9818	NA	0	1.6887	NA	NA
k127_528321	3783	No terminal repeats	6	11	0.9816	NA	0	5.2075	NA	NA
k127_161581	1135	No terminal repeats	1	11	0.9815	NA	1	1.7183	NA	NA
k127_189568	692	No terminal repeats	2	11	0.9815	NA	2	2.7203	T_virB10	NA
k127_384139	313	No terminal repeats	1	11	0.9811	NA	1	1.6659	NA	NA
k127_154505	785	No terminal repeats	1	11	0.9809	NA	1	0.8949	NA	NA
k127_355792	330	No terminal repeats	1	11	0.9808	NA	1	1.4905	T_virB6	NA
k127_307807	3155	No terminal repeats	5	11	0.9808	NA	2	2.7226	T_virB6;T_virB8;T_virB11	NA
k127_371629	3777	No terminal repeats	2	11	0.9807	NA	0	3.2042	NA	NA
k127_36345	1664	No terminal repeats	2	11	0.9802	NA	1	2.2419	F_traE	NA
k127_509734	342	No terminal repeats	1	11	0.9800	NA	1	1.4905	T_virB3	NA
k127_405938	2590	No terminal repeats	3	11	0.9800	NA	0	2.4245	NA	NA
k127_219246	303	No terminal repeats	2	11	0.9792	NA	1	2.7416	NA	NA
k127_531519	361	No terminal repeats	2	11	0.9789	NA	2	2.8405	T_virB3	NA
k127_138076	395	No terminal repeats	1	11	0.9783	NA	1	1.4636	F_traE	NA
k127_545122	312	No terminal repeats	1	11	0.9781	NA	1	1.4636	F_traE	NA
k127_419074	362	No terminal repeats	1	11	0.9770	NA	1	1.4636	F_traE	NA
k127_425001	2712	No terminal repeats	3	11	0.9770	NA	0	1.7183	NA	NA
k127_131855	303	No terminal repeats	1	11	0.9768	NA	1	1.4636	F_traE	NA
k127_525597	664	No terminal repeats	2	11	0.9766	NA	1	1.7183	NA	NA
k127_233201	372	No terminal repeats	1	11	0.9763	NA	1	1.5029	NA	NA
k127_151425	3330	No terminal repeats	4	11	0.9762	NA	0	1.2972	NA	NA
k127_590536	344	No terminal repeats	2	11	0.9761	NA	1	2.6247	F_traE	NA
k127_119662	723	No terminal repeats	2	11	0.9760	NA	1	2.6247	F_traE	NA
k127_459476	372	No terminal repeats	1	11	0.9756	NA	1	1.4636	F_traE	NA
