seq_name	length	topology	n_genes	genetic_code	plasmid_score	fdr	n_hallmarks	marker_enrichment	conjugation_genes	amr_genes
k127_306246	410	No terminal repeats	2	11	0.9836	NA	1	2.5932	F_traE	NA
k127_105410	316	No terminal repeats	1	11	0.9825	NA	1	1.4636	F_traE	NA
k127_214096	427	No terminal repeats	2	11	0.9813	NA	2	2.5969	T_virB3;T_virB2	NA
k127_361623	308	No terminal repeats	2	11	0.9792	NA	2	2.8405	T_virB3	NA
k127_372142	437	No terminal repeats	1	11	0.9779	NA	1	1.4636	F_traE	NA
k127_118511	304	No terminal repeats	1	11	0.9747	NA	1	1.6827	NA	NA
k127_297625	356	No terminal repeats	2	11	0.9708	NA	2	2.8405	T_virB3	NA
k127_120065	357	No terminal repeats	1	11	0.9677	NA	1	1.4636	F_traE	NA
k127_192402	3254	No terminal repeats	1	11	0.9668	NA	0	1.7183	NA	NA
k127_118619	1168	No terminal repeats	1	11	0.9661	NA	1	1.4636	F_traE	NA
k127_138347	463	No terminal repeats	1	11	0.9655	NA	1	1.4636	F_traE	NA
k127_237481	315	No terminal repeats	1	11	0.9642	NA	1	0.9015	NA	NA
k127_186720	433	No terminal repeats	1	11	0.9636	NA	1	1.4636	F_traE	NA
k127_135271	441	No terminal repeats	1	11	0.9592	NA	1	1.4636	F_traE	NA
k127_284086	829	No terminal repeats	1	11	0.9558	NA	1	1.4636	F_traE	NA
k127_44735	392	No terminal repeats	1	11	0.9537	NA	1	1.4636	F_traE	NA
k127_51581	335	No terminal repeats	1	11	0.9534	NA	1	1.4636	F_traE	NA
k127_390624	473	No terminal repeats	2	11	0.9528	NA	1	1.4636	F_traE	NA
k127_339610	408	No terminal repeats	1	11	0.9525	NA	1	0.9015	NA	NA
k127_333881	421	No terminal repeats	1	11	0.9524	NA	1	1.4688	NA	NA
k127_264534	1001	No terminal repeats	1	11	0.9490	NA	1	1.4636	F_traE	NA
k127_304392	409	No terminal repeats	1	11	0.9458	NA	1	1.4636	F_traE	NA
k127_285208	305	No terminal repeats	1	11	0.9436	NA	1	1.4636	F_traE	NA
k127_115703	330	No terminal repeats	1	11	0.9421	NA	1	1.4636	F_traE	NA
k127_250702	398	No terminal repeats	1	11	0.9418	NA	1	1.4636	F_traE	NA
k127_351078	331	No terminal repeats	1	11	0.9331	NA	1	0.9943	NA	NA
k127_107012	1285	No terminal repeats	1	11	0.9328	NA	1	1.2640	NA	NA
k127_178740	1028	No terminal repeats	1	11	0.9326	NA	1	1.6297	NA	NA
k127_24783	347	No terminal repeats	1	11	0.9297	NA	1	1.6381	NA	NA
k127_268149	630	No terminal repeats	2	11	0.9284	NA	1	1.4636	F_traE	NA
k127_315648	337	No terminal repeats	1	11	0.9277	NA	1	0.9963	NA	NA
k127_118785	494	No terminal repeats	1	11	0.9274	NA	1	1.4636	F_traE	NA
k127_106843	311	No terminal repeats	1	11	0.9240	NA	1	1.5789	NA	NA
k127_87460	446	No terminal repeats	1	11	0.9052	NA	1	1.1426	NA	NA
k127_139317	388	No terminal repeats	2	11	0.9042	NA	1	1.4636	F_traE	NA
k127_390807	550	No terminal repeats	1	11	0.9002	NA	1	0.9963	NA	NA
k127_173902	616	No terminal repeats	1	11	0.9001	NA	1	0.9963	NA	NA
k127_394807	375	No terminal repeats	1	11	0.8951	NA	1	1.4636	F_traE	NA
k127_179418	505	No terminal repeats	1	11	0.8864	NA	1	1.3397	T_virB8	NA
k127_262688	630	No terminal repeats	2	11	0.8734	NA	1	1.4636	F_traE	NA
k127_382953	1245	No terminal repeats	2	11	0.8729	NA	1	1.4636	F_traE	NA
k127_58980	352	No terminal repeats	1	11	0.8622	NA	1	1.3072	NA	NA
k127_207837	316	No terminal repeats	2	11	0.8457	NA	1	1.4636	F_traE	NA
k127_165419	466	No terminal repeats	2	11	0.8402	NA	1	1.4636	F_traE	NA
k127_127902	572	No terminal repeats	2	11	0.8351	NA	1	1.4636	F_traE	NA
k127_375642	703	No terminal repeats	1	11	0.8330	NA	1	1.2640	NA	NA
k127_76350	2602	No terminal repeats	5	11	0.8248	NA	0	0.3569	NA	NF038306
k127_179522	352	No terminal repeats	2	11	0.8072	NA	1	1.4636	F_traE	NA
k127_42668	477	No terminal repeats	2	11	0.7835	NA	1	0.9974	NA	NA
k127_307253	953	No terminal repeats	1	11	0.7825	NA	1	1.3966	T_virB6	NA
k127_111789	301	No terminal repeats	1	11	0.7730	NA	1	1.3288	T_virB6	NA
k127_226798	694	No terminal repeats	2	11	0.7638	NA	1	1.3148	T_virB8	NA
k127_158446	335	No terminal repeats	1	11	0.7604	NA	1	1.1063	T_virB2	NA
k127_394920	374	No terminal repeats	1	11	0.7581	NA	1	0.9672	NA	NA
k127_350923	675	No terminal repeats	1	11	0.7557	NA	1	1.2640	NA	NA
k127_255961	508	No terminal repeats	1	11	0.7161	NA	1	1.3243	NA	NA
k127_103144	2728	No terminal repeats	5	11	0.7132	NA	0	1.0577	NA	NA
k127_201056	308	No terminal repeats	1	11	0.7047	NA	1	0.9672	NA	NA
