seq_name	length	topology	n_genes	genetic_code	plasmid_score	fdr	n_hallmarks	marker_enrichment	conjugation_genes	amr_genes
k127_269434	937	No terminal repeats	2	11	0.9903	NA	2	2.9639	NA	NA
k127_382136	391	No terminal repeats	1	11	0.9900	NA	1	1.7183	NA	NA
k127_338138	5455	No terminal repeats	6	11	0.9878	NA	0	3.3976	NA	NA
k127_160659	941	No terminal repeats	2	11	0.9872	NA	2	2.7262	MOBP1	NA
k127_413303	1322	No terminal repeats	2	11	0.9853	NA	1	3.0489	F_traE	NA
k127_23770	304	No terminal repeats	1	11	0.9851	NA	1	1.6689	NA	NA
k127_214964	488	No terminal repeats	2	11	0.9844	NA	1	2.6885	T_virB6	NA
k127_158937	1298	No terminal repeats	2	11	0.9829	NA	1	2.5932	F_traE	NA
k127_62852	523	No terminal repeats	2	11	0.9818	NA	1	3.0489	F_traE	NA
k127_63311	331	No terminal repeats	1	11	0.9784	NA	1	1.6642	NA	NA
k127_142586	394	No terminal repeats	1	11	0.9765	NA	1	1.4636	F_traE	NA
k127_19631	335	No terminal repeats	1	11	0.9763	NA	1	1.4636	F_traE	NA
k127_205062	2793	No terminal repeats	3	11	0.9756	NA	0	1.7183	NA	NA
k127_149150	474	No terminal repeats	1	11	0.9749	NA	1	1.4636	F_traE	NA
k127_279387	456	No terminal repeats	2	11	0.9746	NA	1	2.7416	NA	NA
k127_155576	450	No terminal repeats	1	11	0.9738	NA	1	1.5622	NA	NA
k127_254888	448	No terminal repeats	2	11	0.9734	NA	1	2.5589	F_traE	NA
k127_440996	574	No terminal repeats	1	11	0.9728	NA	1	1.5670	NA	NA
k127_347063	670	No terminal repeats	2	11	0.9723	NA	2	2.7426	T_virB6	NA
k127_18647	1674	No terminal repeats	3	11	0.9718	NA	1	3.0489	F_traE	NA
k127_461442	2708	No terminal repeats	3	11	0.9714	NA	0	1.5828	NA	NA
k127_52389	1097	No terminal repeats	1	11	0.9710	NA	1	1.4636	F_traE	NA
k127_259370	431	No terminal repeats	1	11	0.9684	NA	1	1.5622	NA	NA
