seq_name	length	topology	n_genes	genetic_code	plasmid_score	fdr	n_hallmarks	marker_enrichment	conjugation_genes	amr_genes
k127_17514	389	No terminal repeats	2	11	0.9895	NA	1	3.0489	F_traE	NA
k127_432150	1100	No terminal repeats	2	11	0.9879	NA	1	3.0489	F_traE	NA
k127_2727	1283	No terminal repeats	3	11	0.9879	NA	1	3.0489	F_traE	NA
k127_264705	2508	No terminal repeats	3	11	0.9855	NA	0	2.6180	NA	NA
k127_241221	2107	No terminal repeats	2	11	0.9851	NA	1	3.0489	F_traE	NA
k127_360136	478	No terminal repeats	2	11	0.9814	NA	1	1.7183	NA	NA
k127_240945	1735	No terminal repeats	1	11	0.9809	NA	1	1.4636	F_traE	NA
k127_367136	722	No terminal repeats	1	11	0.9775	NA	1	0.9015	NA	NA
k127_186687	702	No terminal repeats	1	11	0.9765	NA	1	1.3764	NA	NA
k127_190045	2633	No terminal repeats	3	11	0.9757	NA	0	2.8479	NA	NA
k127_87647	612	No terminal repeats	2	11	0.9747	NA	1	2.5932	F_traE	NA
k127_121579	2576	No terminal repeats	3	11	0.9735	NA	1	2.5589	F_traE	NA
k127_336057	316	No terminal repeats	1	11	0.9732	NA	1	1.4636	F_traE	NA
k127_397846	477	No terminal repeats	1	11	0.9730	NA	1	1.4636	F_traE	NA
k127_371342	436	No terminal repeats	1	11	0.9727	NA	1	1.4636	F_traE	NA
k127_352651	405	No terminal repeats	1	11	0.9724	NA	1	1.4636	F_traE	NA
k127_125351	633	No terminal repeats	1	11	0.9723	NA	1	1.4636	F_traE	NA
k127_208858	362	No terminal repeats	1	11	0.9718	NA	1	1.4636	F_traE	NA
k127_297619	1282	No terminal repeats	1	11	0.9712	NA	1	1.4636	F_traE	NA
k127_395998	1211	No terminal repeats	1	11	0.9703	NA	1	0.9974	NA	NA
k127_118512	334	No terminal repeats	1	11	0.9700	NA	1	1.4636	F_traE	NA
k127_304449	473	No terminal repeats	1	11	0.9695	NA	1	1.4636	F_traE	NA
k127_413433	353	No terminal repeats	1	11	0.9694	NA	1	1.4636	F_traE	NA
k127_94842	2662	No terminal repeats	4	11	0.9692	NA	0	0.8445	NA	NA
k127_336388	1850	No terminal repeats	1	11	0.9673	NA	1	1.4636	F_traE	NA
k127_139859	659	No terminal repeats	1	11	0.9672	NA	1	1.4636	F_traE	NA
k127_20060	552	No terminal repeats	1	11	0.9659	NA	1	1.4636	F_traE	NA
k127_460844	357	No terminal repeats	1	11	0.9647	NA	1	1.4636	F_traE	NA
k127_76148	463	No terminal repeats	1	11	0.9624	NA	1	1.5486	NA	NA
k127_28605	348	No terminal repeats	1	11	0.9617	NA	1	1.4636	F_traE	NA
k127_113026	3103	No terminal repeats	4	11	0.9600	NA	1	2.5589	F_traE	NA
k127_248201	946	No terminal repeats	2	11	0.9595	NA	1	2.6782	F_traE	NA
k127_455388	357	No terminal repeats	1	11	0.9595	NA	1	1.4636	F_traE	NA
k127_341916	319	No terminal repeats	1	11	0.9579	NA	1	1.4636	F_traE	NA
k127_438483	3168	No terminal repeats	1	11	0.9576	NA	0	0.8490	NA	NA
k127_345583	385	No terminal repeats	1	11	0.9575	NA	1	1.5486	NA	NA
k127_360092	347	No terminal repeats	1	11	0.9565	NA	1	1.4636	F_traE	NA
k127_458507	396	No terminal repeats	1	11	0.9560	NA	1	1.4636	F_traE	NA
k127_172070	332	No terminal repeats	1	11	0.9558	NA	1	1.4636	F_traE	NA
k127_72261	435	No terminal repeats	1	11	0.9551	NA	1	1.4636	F_traE	NA
k127_266292	362	No terminal repeats	1	11	0.9549	NA	1	1.5486	NA	NA
k127_106862	307	No terminal repeats	1	11	0.9543	NA	1	1.5223	NA	NA
k127_273421	480	No terminal repeats	1	11	0.9539	NA	1	1.4636	F_traE	NA
k127_200231	463	No terminal repeats	1	11	0.9521	NA	1	1.4636	F_traE	NA
k127_205061	925	No terminal repeats	2	11	0.9519	NA	1	1.4636	F_traE	NA
k127_345735	1157	No terminal repeats	2	11	0.9515	NA	1	0.9974	NA	NA
k127_426829	381	No terminal repeats	1	11	0.9512	NA	1	1.5486	NA	NA
k127_377068	449	No terminal repeats	1	11	0.9504	NA	1	0.9385	NA	NA
k127_288251	474	No terminal repeats	1	11	0.9499	NA	1	1.3243	NA	NA
k127_391345	1233	No terminal repeats	2	11	0.9490	NA	1	2.7360	NA	NA
k127_431289	448	No terminal repeats	1	11	0.9485	NA	1	1.4636	F_traE	NA
k127_275921	312	No terminal repeats	1	11	0.9476	NA	1	0.9015	NA	NA
k127_137970	349	No terminal repeats	1	11	0.9463	NA	1	1.4636	F_traE	NA
k127_161998	773	No terminal repeats	2	11	0.9453	NA	1	1.5486	NA	NA
k127_250231	1294	No terminal repeats	2	11	0.9451	NA	1	1.7183	NA	NA
k127_38429	662	No terminal repeats	1	11	0.9442	NA	1	1.5486	NA	NA
k127_254376	375	No terminal repeats	1	11	0.9440	NA	1	0.8949	NA	NA
k127_239502	343	No terminal repeats	1	11	0.9434	NA	1	0.9172	NA	NA
k127_268901	1432	No terminal repeats	3	11	0.9429	NA	1	1.6029	F_traE	NA
k127_445850	442	No terminal repeats	1	11	0.9402	NA	1	1.4636	F_traE	NA
k127_174452	2758	No terminal repeats	2	11	0.9399	NA	0	0.9943	NA	NA
k127_55853	1380	No terminal repeats	1	11	0.9395	NA	1	1.4636	F_traE	NA
k127_117600	571	No terminal repeats	1	11	0.9389	NA	1	1.5486	NA	NA
k127_228033	1345	No terminal repeats	1	11	0.9389	NA	1	1.2640	NA	NA
k127_334241	326	No terminal repeats	1	11	0.9385	NA	1	1.5486	NA	NA
k127_269644	865	No terminal repeats	1	11	0.9369	NA	1	1.5486	NA	NA
k127_165600	398	No terminal repeats	1	11	0.9321	NA	1	1.4636	F_traE	NA
k127_139141	352	No terminal repeats	1	11	0.9316	NA	1	0.9172	NA	NA
k127_460099	2606	No terminal repeats	4	11	0.9301	NA	1	2.8953	F_traE	NA
k127_98047	330	No terminal repeats	2	11	0.9298	NA	1	1.4636	F_traE	NA
k127_239598	325	No terminal repeats	1	11	0.9291	NA	1	1.4636	F_traE	NA
k127_54409	777	No terminal repeats	1	11	0.9286	NA	1	1.4636	F_traE	NA
k127_58677	799	No terminal repeats	1	11	0.9265	NA	1	1.4644	NA	NA
k127_432838	410	No terminal repeats	1	11	0.9265	NA	1	0.8949	NA	NA
k127_380140	460	No terminal repeats	1	11	0.9195	NA	1	0.8949	NA	NA
k127_34551	513	No terminal repeats	1	11	0.9192	NA	1	1.4644	NA	NA
k127_140818	2751	No terminal repeats	3	11	0.9144	NA	0	1.8667	NA	NA
k127_285841	316	No terminal repeats	2	11	0.9135	NA	1	1.4636	F_traE	NA
k127_297847	334	No terminal repeats	1	11	0.9072	NA	1	0.9172	NA	NA
k127_105578	1136	No terminal repeats	2	11	0.9065	NA	1	1.4636	F_traE	NA
k127_28625	4122	No terminal repeats	5	11	0.9060	NA	0	1.1742	NA	NA
k127_250673	369	No terminal repeats	2	11	0.9052	NA	1	1.4636	F_traE	NA
k127_353384	3021	No terminal repeats	3	11	0.8973	NA	0	1.0615	NA	NA
k127_328395	349	No terminal repeats	1	11	0.8908	NA	1	1.3966	T_virB6	NA
k127_46694	431	No terminal repeats	1	11	0.8851	NA	1	1.1426	NA	NA
k127_82261	608	No terminal repeats	2	11	0.8830	NA	1	1.4636	F_traE	NA
k127_118871	493	No terminal repeats	1	11	0.8798	NA	1	0.9172	NA	NA
k127_363631	374	No terminal repeats	2	11	0.8773	NA	1	1.4905	T_virB3	NA
k127_144001	537	No terminal repeats	1	11	0.8743	NA	1	1.2242	MOBP1	NA
k127_109468	444	No terminal repeats	2	11	0.8716	NA	1	1.4636	F_traE	NA
k127_235555	632	No terminal repeats	2	11	0.8713	NA	1	1.4636	F_traE	NA
k127_231352	535	No terminal repeats	2	11	0.8707	NA	1	1.4636	F_traE	NA
k127_65247	508	No terminal repeats	2	11	0.8661	NA	1	1.4636	F_traE	NA
k127_460509	480	No terminal repeats	1	11	0.8652	NA	1	1.5111	NA	NA
k127_407527	316	No terminal repeats	1	11	0.8616	NA	1	1.2019	T_virB6	NA
k127_153073	318	No terminal repeats	1	11	0.8580	NA	1	1.3966	T_virB6	NA
k127_265264	2701	No terminal repeats	2	11	0.8528	NA	0	0.6178	NA	NA
k127_423506	396	No terminal repeats	2	11	0.8487	NA	1	1.5223	NA	NA
k127_265038	535	No terminal repeats	1	11	0.8471	NA	1	0.9672	NA	NA
k127_387857	342	No terminal repeats	2	11	0.8358	NA	1	1.4636	F_traE	NA
